menu_item_id,pizza_name,category,size,unit_price,ingredients
hawaiian_m,The Hawaiian Pizza,Classic,M,13.25,"Sliced Ham, Pineapple, Mozzarella Cheese"
classic_dlx_m,The Classic Deluxe Pizza,Classic,M,16.0,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon"
five_cheese_l,The Five Cheese Pizza,Veggie,L,18.5,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic"
ital_supr_l,The Italian Supreme Pizza,Supreme,L,20.75,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic"
mexicana_m,The Mexicana Pizza,Veggie,M,16.0,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic"
thai_ckn_l,The Thai Chicken Pizza,Chicken,L,20.75,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
ital_supr_m,The Italian Supreme Pizza,Supreme,M,16.5,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic"
prsc_argla_l,The Prosciutto and Arugula Pizza,Supreme,L,20.75,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese"
bbq_ckn_s,The Barbecue Chicken Pizza,Chicken,S,12.75,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
the_greek_s,The Greek Pizza,Classic,S,12.0,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions"
spinach_supr_s,The Spinach Supreme Pizza,Supreme,S,12.5,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese"
classic_dlx_s,The Classic Deluxe Pizza,Classic,S,12.0,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon"
green_garden_s,The Green Garden Pizza,Veggie,S,12.0,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese"
ital_cpcllo_l,The Italian Capocollo Pizza,Classic,L,20.5,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano"
ital_supr_s,The Italian Supreme Pizza,Supreme,S,12.5,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic"
mexicana_s,The Mexicana Pizza,Veggie,S,12.0,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic"
spicy_ital_l,The Spicy Italian Pizza,Supreme,L,20.75,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic"
spin_pesto_l,The Spinach Pesto Pizza,Veggie,L,20.75,"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce"
veggie_veg_s,The Vegetables + Vegetables Pizza,Veggie,S,12.0,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic"
mexicana_l,The Mexicana Pizza,Veggie,L,20.25,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic"
southw_ckn_l,The Southwest Chicken Pizza,Chicken,L,20.75,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce"
bbq_ckn_l,The Barbecue Chicken Pizza,Chicken,L,20.75,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
cali_ckn_l,The California Chicken Pizza,Chicken,L,20.75,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese"
cali_ckn_m,The California Chicken Pizza,Chicken,M,16.75,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese"
pepperoni_l,The Pepperoni Pizza,Classic,L,15.25,"Mozzarella Cheese, Pepperoni"
cali_ckn_s,The California Chicken Pizza,Chicken,S,12.75,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese"
ckn_pesto_l,The Chicken Pesto Pizza,Chicken,L,20.75,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce"
big_meat_s,The Big Meat Pizza,Classic,S,12.0,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage"
soppressata_l,The Soppressata Pizza,Supreme,L,20.75,"SoppressataSalami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic"
four_cheese_l,The Four Cheese Pizza,Veggie,L,17.95,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic"
napolitana_s,The Napolitana Pizza,Classic,S,12.0,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic"
calabrese_m,The Calabrese Pizza,Supreme,M,16.25,"Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic"
four_cheese_m,The Four Cheese Pizza,Veggie,M,14.75,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic"
ital_veggie_s,The Italian Vegetables Pizza,Veggie,S,12.75,"Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce"
mediterraneo_m,The Mediterranean Pizza,Veggie,M,16.0,"Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions"
peppr_salami_s,The PepperSalami Pizza,Supreme,S,12.5,"GenoaSalami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic"
spinach_fet_l,The Spinach and Feta Pizza,Veggie,L,20.25,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic"
napolitana_l,The Napolitana Pizza,Classic,L,20.5,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic"
sicilian_l,The Sicilian Pizza,Supreme,L,20.25,"Coarse SicilianSalami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic"
ital_cpcllo_m,The Italian Capocollo Pizza,Classic,M,16.0,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano"
southw_ckn_s,The Southwest Chicken Pizza,Chicken,S,12.75,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce"
bbq_ckn_m,The Barbecue Chicken Pizza,Chicken,M,16.75,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
pepperoni_m,The Pepperoni Pizza,Classic,M,12.5,"Mozzarella Cheese, Pepperoni"
prsc_argla_s,The Prosciutto and Arugula Pizza,Supreme,S,12.5,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese"
sicilian_m,The Sicilian Pizza,Supreme,M,16.25,"Coarse SicilianSalami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic"
veggie_veg_l,The Vegetables + Vegetables Pizza,Veggie,L,20.25,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic"
ckn_alfredo_s,The Chicken Alfredo Pizza,Chicken,S,12.75,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce"
pepperoni_s,The Pepperoni Pizza,Classic,S,9.75,"Mozzarella Cheese, Pepperoni"
green_garden_l,The Green Garden Pizza,Veggie,L,20.25,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese"
green_garden_m,The Green Garden Pizza,Veggie,M,16.0,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese"
pep_msh_pep_l,"The Pepperoni, Mushroom, and Peppers Pizza",Classic,L,17.5,"Pepperoni, Mushrooms, Green Peppers"
hawaiian_s,The Hawaiian Pizza,Classic,S,10.5,"Sliced Ham, Pineapple, Mozzarella Cheese"
peppr_salami_m,The PepperSalami Pizza,Supreme,M,16.5,"GenoaSalami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic"
ckn_alfredo_m,The Chicken Alfredo Pizza,Chicken,M,16.75,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce"
peppr_salami_l,The PepperSalami Pizza,Supreme,L,20.75,"GenoaSalami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic"
spin_pesto_s,The Spinach Pesto Pizza,Veggie,S,12.5,"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce"
thai_ckn_m,The Thai Chicken Pizza,Chicken,M,16.75,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
classic_dlx_l,The Classic Deluxe Pizza,Classic,L,20.5,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon"
ckn_pesto_m,The Chicken Pesto Pizza,Chicken,M,16.75,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce"
the_greek_xl,The Greek Pizza,Classic,XL,25.5,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions"
hawaiian_l,The Hawaiian Pizza,Classic,L,16.5,"Sliced Ham, Pineapple, Mozzarella Cheese"
pep_msh_pep_s,"The Pepperoni, Mushroom, and Peppers Pizza",Classic,S,11.0,"Pepperoni, Mushrooms, Green Peppers"
spinach_supr_m,The Spinach Supreme Pizza,Supreme,M,16.5,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese"
prsc_argla_m,The Prosciutto and Arugula Pizza,Supreme,M,16.5,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese"
mediterraneo_l,The Mediterranean Pizza,Veggie,L,20.25,"Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions"
southw_ckn_m,The Southwest Chicken Pizza,Chicken,M,16.75,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce"
pep_msh_pep_m,"The Pepperoni, Mushroom, and Peppers Pizza",Classic,M,14.5,"Pepperoni, Mushrooms, Green Peppers"
sicilian_s,The Sicilian Pizza,Supreme,S,12.25,"Coarse SicilianSalami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic"
spicy_ital_s,The Spicy Italian Pizza,Supreme,S,12.5,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic"
thai_ckn_s,The Thai Chicken Pizza,Chicken,S,12.75,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
spinach_supr_l,The Spinach Supreme Pizza,Supreme,L,20.75,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese"
ital_veggie_l,The Italian Vegetables Pizza,Veggie,L,21.0,"Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce"
veggie_veg_m,The Vegetables + Vegetables Pizza,Veggie,M,16.0,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic"
the_greek_m,The Greek Pizza,Classic,M,16.0,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions"
ckn_pesto_s,The Chicken Pesto Pizza,Chicken,S,12.75,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce"
spinach_fet_s,The Spinach and Feta Pizza,Veggie,S,12.0,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic"
spicy_ital_m,The Spicy Italian Pizza,Supreme,M,16.5,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic"
ital_veggie_m,The Italian Vegetables Pizza,Veggie,M,16.75,"Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce"
ital_cpcllo_s,The Italian Capocollo Pizza,Classic,S,12.0,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano"
mediterraneo_s,The Mediterranean Pizza,Veggie,S,12.0,"Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions"
spinach_fet_m,The Spinach and Feta Pizza,Veggie,M,16.0,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic"
napolitana_m,The Napolitana Pizza,Classic,M,16.0,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic"
spin_pesto_m,The Spinach Pesto Pizza,Veggie,M,16.5,"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce"
brie_carre_s,The Brie Carre Pizza,Supreme,S,23.65,"Brie Carre Cheese, Prosciutto, Caramelized Onions, Pears, Thyme, Garlic"
ckn_alfredo_l,The Chicken Alfredo Pizza,Chicken,L,20.75,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce"
calabrese_s,The Calabrese Pizza,Supreme,S,12.25,"Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic"
the_greek_l,The Greek Pizza,Classic,L,20.5,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions"
soppressata_m,The Soppressata Pizza,Supreme,M,16.5,"SoppressataSalami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic"
soppressata_s,The Soppressata Pizza,Supreme,S,12.5,"SoppressataSalami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic"
calabrese_l,The Calabrese Pizza,Supreme,L,20.25,"Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic"
the_greek_xxl,The Greek Pizza,Classic,XXL,35.95,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions"
